entity_text,entity_label
Pakistan,GPE
Pakistan,GPE
Arabic-Persian,NORP
a few decades,DATE
Indian,NORP
Holi,PERSON
Hindu,NORP
Christmas,DATE
Thanksgiving,DATE
Pakistan,GPE
Pakistan,GPE
Punjabis,ORG
Pathans,NORP
Balochi,GPE
Kashmiris,PERSON
Muhajirs,PERSON
India,GPE
Pakistan,GPE
Pakistan,GPE
Pashtuns,ORG
KPK,ORG
South,LOC
Punjabis,ORG
East,LOC
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Urdu,GPE
English,LANGUAGE
daily,DATE
English,LANGUAGE
English,LANGUAGE
Urdu,GPE
Pakistan,GPE
Urdu and Punjabi,ORG
Balochi,GPE
Seraiki,ORG
Sindhi,PERSON
Urdu,GPE
Urdu,GPE
Pakistani,NORP
Pakistan,GPE
Pakistan,GPE
decades,DATE
Dining Etiquettes Food,ORG
Pakistani,NORP
Pakistani,NORP
biryani,PERSON
Pakistan,GPE
Muslim,NORP
Korean,NORP
Indian,NORP
American,NORP
Pakistan,GPE
Pakistan,GPE
Muslim,NORP
Pakistani,NORP
decades,DATE
Sindhis,GPE
Ajrak,ORG
today,DATE
daily,DATE
Pakistan,GPE
Gender Roles Traditionally,PERSON
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Library Guides,PERSON
Maira Masood,PERSON
BS Biosciences,ORG
NUST,ORG
Pakistan,GPE
Post Views,ORG
Pakistan,GPE
Nabateans,NORP
2025,DATE
November 2,DATE
2025,DATE
2025,DATE
The Ocean of Knowledge,LOC
"October 28, 2025",DATE
Your Mind’s Secret Weapon,PERSON
"October 18, 2025",DATE
Karez,PERSON
Advanced Bio-Ecological Drainage,ORG
"November 4, 2025",DATE
2025,DATE
"November 2, 2025",DATE
Courage,ORG
"October 31, 2025",DATE
2025,DATE
The Ocean of Knowledge,LOC
October 28,DATE
2025,DATE
Sudden Goodbyes,PERSON
The Alarming Truth,ORG
"October 27, 2025",DATE
Scientia,GPE
2019,DATE
Scientia,GPE
Pakistan,GPE
Us,GPE
Books Book,ORG
JEL,ORG
Subscribe,PERSON
Seminar Calendar,PERSON
ConfWatcher,ORG
Cultural Dimensions,ORG
Punjab,NORP
Balochistan,ORG
Khyber Pakhtunkhwa Provinces Author &,ORG
Download 3 References 2 Citations,ORG
Related works & more Corrections Author Listed,ORG
Mehmood Anjum Syed Muhammad,ORG
Zia Hasan Raza,PERSON
2008,DATE
The Provinces of Sindh,ORG
Punjab,NORP
Balochistan,ORG
Pakistan,GPE
Pakistan,GPE
2013,DATE
Pakistan,GPE
Pakistan,GPE
Suggested,ORG
Mehmood Anjum & Syed Muhammad,ORG
Zia & Hasan Raza,ORG
2014,DATE
Punjab,NORP
Balochistan,ORG
Khyber Pakhtunkhwa Provinces,ORG
International Journal of Management Sciences,ORG
Research Academy of Social Sciences,ORG
v4i6p3 Download,PERSON
IDEAS Sudhir H Kale &,ORG
John W Barnes,PERSON
1992,DATE
Journal of International Business Studies,ORG
International Business,ORG
March,DATE
Hofstede,ORG
Geert,PERSON
1994,DATE
International Business Review,ORG
March,DATE
Thomas & Chapman,ORG
Christopher S.,PERSON
2006,DATE
November,DATE
IDEAS,ORG
Citations Citations,PERSON
the CitEc Project,ORG
RSS,ORG
Anjum Mehmood & Muhammad Zia Syed &,ORG
Ahmed Khan Waheed,PERSON
2015,DATE
Sindh,GPE
Punjab,NORP
Khyber Pakhtunkhwa,PERSON
Balochistan,ORG
Journal of Intercultural Management,ORG
Sciendo,ORG
"15-37, September",DATE
Hanan Al Mubarak,PERSON
2023,DATE
India,GPE
International Journal of Culture and History,ORG
December,DATE
Minguzzi,ORG
Antonio & Passaro,ORG
Renato,GPE
2001,DATE
March,DATE
Luis Alfonso Dau & Aya S. Chacar & Marjorie A. Lyles & Jiatao Li,PERSON
2022,DATE
Journal of International Business Studies,ORG
International Business,ORG
985-1010,DATE
August,DATE
Ilse Svensson de Jong,ORG
2021,DATE
JRFM,PERSON
MDPI,GPE
July,DATE
Dambrin,ORG
Claire & Lambert,ORG
Caroline,GPE
2012,DATE
SANDES & Tomoki SEKIGUCHI,ORG
2025,DATE
Latin American,NORP
e-24,GPE
Graduate School of Economics,ORG
Kyoto University,ORG
Lu,PERSON
Jiaying & Hung,ORG
Kam & Wang,ORG
Lili & Schuett,ORG
Michael A. & Hu,PERSON
Liang,GPE
2016,DATE
Chinese,NORP
"Lorino,",ORG
"Philippe & Mourey, Damien & Schmidt",ORG
Géraldine,ORG
2017,DATE
Goffman,NORP
French,NORP
32-49,DATE
Fang,PERSON
Tony & Fridh,ORG
Camilla & Schultzberg,ORG
Sara,GPE
2004,DATE
Telia,GPE
International Business Review,ORG
October,DATE
Walid Cheffi,PERSON
2008,DATE
Etude Des Roles De La Comptabilite De Gestion Pour Les,ORG
Le Cas,ORG
Groupe Automobile,ORG
Dahlgrün,GPE
Philipp W. & Bausch,ORG
Andreas,GPE
2019,DATE
Meta-Analysis,ORG
"Journal of International Management , Elsevier",ORG
Matthew Egan,PERSON
2015,DATE
Journal of Business Ethics,ORG
November,DATE
Gérald Naro & Denis Travaillé,ORG
2010,DATE
Construire,PERSON
de Kaplan,PERSON
Norton,ORG
June,DATE
Graaf,PERSON
Johan & Kraus,ORG
Kalle & Strömsten,ORG
Torkel,PERSON
2022,DATE
Chapman,PERSON
Christopher S.,PERSON
2018,DATE
Giuliani,PERSON
Marco & Skoog,ORG
Matti,ORG
2020,DATE
Khakhar,GPE
Priyan & Rammal,ORG
Hussain Gulzar,PERSON
2013,DATE
Arab,NORP
International Business Review,ORG
Lehmann-Zschunke,PERSON
Nina,GPE
2021,DATE
Eignung,ORG
OKR-Methode,ORG
Universität St.Gallen,ORG
Customer Insight,ORG
Lai Ken Tan & Matthew Egan,PERSON
2018,DATE
The Public Accountability Value,ORG
Australian Accounting Review,ORG
Australia,GPE
June,DATE
Allan Hansen,PERSON
2011,DATE
June,DATE
Vassili Joannides & Danture Wickramasinghe & Nicolas Berland,ORG
2012,DATE
Statistics Access,ORG
CitEc,ORG
Author Service,ORG
Danish Khalil,PERSON
a couple of weeks,DATE
Economics RePEc Genealogy,ORG
Plagiarism Cases,ORG
Help/FAQ Questions,ORG
Participating,GPE
Help us Corrections Found,ORG
Volunteers Opportunities,ORG
"October 18, 2024 0",DATE
Jump,PERSON
Whatsapp Channel PAKISTAN,ORG
Sudipta Kaviraj,PERSON
British,NORP
Today,DATE
xenophobia,GPE
Pakistan,GPE
Pakistan,GPE
Sughra Rawalpindi Published,PERSON
Dawn,GPE
"October 18th, 2024",DATE
Trade,ORG
"October 18, 2024 0",DATE
Jump,PERSON
Whatsapp Channel PAKISTAN,ORG
Sudipta Kaviraj,PERSON
British,NORP
Today,DATE
xenophobia,GPE
Pakistan,GPE
Pakistan,GPE
Sughra Rawalpindi Published,PERSON
Dawn,GPE
"October 18th, 2024",DATE
Trade,ORG
Pakistan,GPE
India,GPE
1983,DATE
India,GPE
India,GPE
Bilawal,ORG
PML-N,ORG
PPP,ORG
India,GPE
ISPR 08 Islamabad,ORG
Automatic Meter Reading,PERSON
Pakistan,GPE
2026,DATE
Chinese,NORP
Latest Stories New Yorkers,ORG
Mamdani,PERSON
JUI,ORG
Parliament,ORG
Dar,PERSON
Haris Rauf,PERSON
South Africa,GPE
Punjab,NORP
TLP,ORG
Punjab,NORP
Lahore,NORP
Opinion Discovering,ORG
Arifa Noor,PERSON
2025,DATE
Jawed Naqvi,PERSON
2025,DATE
Noman Ahmed,PERSON
"04 Nov, 2025 Learning",DATE
2025,DATE
RO,ORG
Muddassir Rizvi Editorial Updated,PERSON
PTI,ORG
the weekend,DATE
"the... 04 Nov, 2025",DATE
THE World Bank’s,ORG
Pakistan,GPE
2025,DATE
DONALD Trump’s,PERSON
Nigeria,GPE
Christian,NORP
2025,DATE
Pakistan,GPE
2025,DATE
WOMEN,ORG
ILO,ORG
2025,DATE
Karachi,ORG
PPP,ORG
جھٹکا,PERSON
سیاسی قتل کے پیچھے,ORG
سازشیں ہوتی ہیں‘ Dawn,PERSON
English,LANGUAGE
Gaza,GPE
Pakistan,GPE
Trump,ORG
Xi Meeting Amid Tariff,PERSON
"Challenges, Policy & Innovation Inside the Failed Istanbul Talks",ORG
Pakistan’s Frustration & Taliban’s,ORG
›,ORG
Pakistan,GPE
Article PDF Available,ORG
Pakistan,GPE
September 2023,DATE
Qlantic Journal of Social Sciences,ORG
License CC BY-NC 4.0,ORG
Aneela Firdoos Aneela Firdoos,PERSON
ResearchGate,ORG
Farah Latif Naz,PERSON
Bahauddin Zakariya,PERSON
Zuha Masud Zuha Masud,PERSON
ResearchGate,ORG
PDF Read,ORG
Download,GPE
Download,GPE
Pakistan,GPE
Pakistan,GPE
Pakistani,NORP
Pakistani,NORP
Creative Commons Attribution-NonCommercial 4.0 International Content,ORG
2.3+ billion,MONEY
Vol,PERSON
Summer 2023,DATE
2791-0245,DATE
ISSN,ORG
0229,MONEY
1 72,DATE
Farah Latif Naz,PERSON
Firdoos,PERSON
Naz,ORG
Z.,PERSON
2023,DATE
Cultural Norms,ORG
Pakistan,GPE
Qlantic Journal of Social Sciences,ORG
Original Research Article Introduction Gender,ORG
Pakistan,GPE
Pakistani,NORP
Maheshwari & Nayak,ORG
2022,DATE
Pakistan,GPE
Pakistan,GPE
2021,DATE
Pakistan,GPE
Bahauddin Zakariya University,PERSON
Layyah Campus,PERSON
Punjab,NORP
Pakistan,GPE
Department of Education,ORG
Bahauddin Zakariya University,PERSON
Multan,PERSON
Punjab,NORP
Pakistan,GPE
Department of Education,ORG
Bahauddin Zakariya University,PERSON
Multan,PERSON
Punjab,NORP
Pakistan,GPE
Pakistan,GPE
Aneela Firdoos,PERSON
Farah Latif Naz 2 Zuha,PERSON
Pakistan,GPE
Pakistan,GPE
gen der,PERSON
Pakistani,NORP
Pakistani,NORP
Key Words,ORG
Gender Inequality,ORG
Pakistan,GPE
Discrepancies,ORG
Educational Achievem,ORG
"Cultural Norms, Social Expectations Impact of Cultural Norms and Social Expectations for Shaping Gender Disparities",ORG
Pakistan Qlantic Journal of Social Sciences,ORG
Summer 2023,DATE
Pakistan,GPE
Kamal,PERSON
2019,DATE
Pakistan,GPE
discrimi,PERSON
Pakistan,GPE
Pakistani,NORP
Pakistani,NORP
Aghai,GPE
Goudar,GPE
al,ORG
2020,DATE
South Asia,LOC
Pakistan,GPE
Pakistan,GPE
Waidle,PERSON
Sunny et al,PERSON
2021,DATE
Pakistan,GPE
Kitterød Nadim 2020,ORG
Pakistani,NORP
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Fizza,GPE
Pakistan,GPE
fundin g. Aneela Firdoos,PERSON
Farah Latif Naz,PERSON
Zuha Masud,PERSON
Qlantic Journal of Social Sciences,ORG
Summer 2023,DATE
Pakistan,GPE
"Fizza, 2023",DATE
2021,DATE
India,GPE
Pakistan,GPE
Kramer,PERSON
2023,DATE
Odera and Mulusa,ORG
2020,DATE
Sánchez,GPE
Jones,PERSON
al,PERSON
2023,DATE
between 1970 and 2010,DATE
Pakistan,GPE
Teixeira,ORG
Shin,PERSON
2020,DATE
the second half of the 20th century,DATE
today,DATE
Showunmi,ORG
2023,DATE
Terry,PERSON
Thomas,PERSON
1997,DATE
Cultural Norms and Social Expectations for Shaping Gender Disparities,ORG
Pakistan Qlantic Journal of Social Sciences,ORG
Summer 2023,DATE
Abdullah,PERSON
al,PERSON
2021,DATE
Pakistan,GPE
Lahore,GPE
Islamabad,GPE
dem,NORP
SPSS,ORG
Pakistan,GPE
Data Analysis Table 1 Social,ORG
Gender,ORG
Culture,NORP
06 5,DATE
07 6,DATE
18 13 7,DATE
01 8,DATE
03 9,DATE
Par,ORG
199 01 00,DATE
Pakistan,GPE
Aneela Firdoos,PERSON
Farah Latif Naz,PERSON
Zuha Masud 170 Qlantic Journal of Social Sciences,PERSON
Summer 2023,DATE
Total Number Female Teachers Female Students Mean Std,ORG
60 140,DATE
1.6650,MONEY
1.2834 200,MONEY
60 140 1.5850,DATE
Pakistan,GPE
Pakistan,GPE
max,PERSON
Pakistan,GPE
Gender-Inclusive Curricula: Develop ed ucational,ORG
al gen der,PERSON
Training,PERSON
Equip,GPE
Cultural Norms and Social Expectations for Shaping Gender Disparities,ORG
Pakistan Qlantic Journal of Social Sciences,ORG
Summer 2023,DATE
Safe Transportation,ORG
Invest,ORG
References Abdullah,PERSON
M. G.,PERSON
2021,DATE
Pakistan,GPE
iRASD Journal of Economics,ORG
Aghai,GPE
Z. H.,PERSON
Goudar,GPE
S. S.,PERSON
Patel,PERSON
A.,PERSON
Saleem,NORP
"S. M., Kavi",PERSON
Lalakia,GPE
Naqvi,PERSON
F.,PERSON
Hibberd,GPE
P. L.,PERSON
McClure,GPE
Nolen,PERSON
T. L.,PERSON
Goldenberg,PERSON
R. L.,PERSON
R. J.,PERSON
2020,DATE
India,GPE
Pakistan,GPE
Reproductive Health,ORG
-0 Anjum,PERSON
G.,PERSON
Kamal,PERSON
2018,DATE
Pakistan,GPE
Journal of Human Behavior,ORG
the Social Environment,ORG
2020,DATE
Journal of International Business Policy,ORG
00054,DATE
2023,DATE
the Influence of Sociocultural Norms,ORG
Gender Biases,PERSON
Pakistan,GPE
Harvard University,ORG
D.,NORP
2021,DATE
Kitterød,PERSON
R. H.,PERSON
2020,DATE
Norway,GPE
Demographic Research,ORG
42,DATE
Kramer,PERSON
K. L.,PERSON
2022,DATE
Biological Sciences,ORG
1868,DATE
Maheshwari,PERSON
G.,PERSON
R.,NORP
2020,DATE
Vietnamese,NORP
Educational Management Administration & Leadership,ORG
50,DATE
& Mulusa,ORG
J.,PERSON
2019,DATE
Interdisciplinary Studies,ORG
S. I.,PERSON
Jones,GPE
H. R.,PERSON
Bogen,PERSON
T. K.,GPE
2023,DATE
American Journal of Orthopsychiatry,ORG
93,DATE
Aneela Firdoos,PERSON
Farah Latif Naz,PERSON
Zuha Masud 172 Qlantic Journal of Social Sciences,PERSON
Summer 2023,DATE
Showunmi,NORP
2023,DATE
8,DATE
https://doi.org/10.3389/fsoc.2023.974617 Teixeira,PERSON
P. N. & J,ORG
C. Shin,PERSON
2020,DATE
Springer,PERSON
https://doi.org/10.1007/978- 94 - 01 7-8905-9,DATE
J.,PERSON
al,PERSON
2021,DATE
South Asia,LOC
UNICEF Office,ORG
https://www.unicef-irc.org/publications/pdf/Family-,PERSON
College/National,ORG
2022,DATE
Nepal,GPE
Gender Disparities,ORG
2025,DATE
Muhammad Ilyas,PERSON
MDCAT,ORG
MBBS,ORG
BDS,ORG
Bolan Medical College,ORG
Quetta,ORG
2019 to 2024,DATE
2024,DATE
BMC,ORG
Quetta,ORG
MBBS,ORG
BDS,ORG
2019 to 2024,DATE
first-year,DATE
MDCAT,ORG
five-year,DATE
MBBS,ORG
n=89/227,ORG
2019-2020,DATE
2023-2024,DATE
BDS,ORG
2019-2020,DATE
2023-2024,DATE
n=5,PERSON
MBBS,ORG
BDS,ORG
BMC,ORG
College/National,ORG
2022,DATE
Nepal,GPE
Gender Disparities,ORG
Bolan Medical College,ORG
Quetta,ORG
2025,DATE
Nabiha,PERSON
Khan Muhammad,PERSON
Muhammad Objectives,PERSON
MDCAT,ORG
MBBS,ORG
BDS,ORG
Bolan Medical College,ORG
Quetta,ORG
2019 to 2024,DATE
2024,DATE
BMC,ORG
Quetta,ORG
MBBS,ORG
BDS,ORG
2019 to 2024,DATE
first-year,DATE
MDCAT,ORG
five-year,DATE
MBBS,ORG
n=89/227,ORG
2019-2020,DATE
2023-2024,DATE
BDS,ORG
2019-2020,DATE
2023-2024,DATE
n=5,PERSON
MBBS,ORG
BDS,ORG
BMC,ORG
Gender Inequality,ORG
Family Support,PERSON
Zambia,GPE
Zambia,GPE
2018,DATE
2024,DATE
Phyllis Dako-Gyeke,PERSON
Zambia,GPE
2018,DATE
Zambia,GPE
p<0.05,ORG
5057,DATE
20–29 years,DATE
30–39 years,DATE
40–49 years,DATE
the last 5 years,DATE
4.5,DATE
Zambia,GPE
Firdoos,PERSON
2023,DATE
De Ravindranath et al,ORG
2021,DATE
WOMEN,ORG
COMMUNITY,ORG
SOCIAL DEVELOPMENT PROJECTS,ORG
CSDP,ORG
AKWA,GPE
2024,DATE
Emmanuel Edet Umoh,PERSON
Robson Etuk,PERSON
Community and Social Development Projects,ORG
Akwa,GPE
Nigeria,GPE
Local Government Areas,ORG
CSDP,ORG
CSDP,ORG
Yuorsuu,PERSON
2024,DATE
Ghana,GPE
2019;Thelwall & Nevill,ORG
2019,DATE
Firdoos,PERSON
al.,PERSON
2023,DATE
Jamal,GPE
2023,DATE
KADUNA STATE,ORG
Lere,GPE
Kaduna State,GPE
PPMC,ORG
Lere,GPE
Kaduna State,GPE
Kaduna State Government,ORG
LGA Education Authority,ORG
2024,DATE
Nora Fitriawati,PERSON
May 2024,DATE
Bushra Rizvi Hariharan N Krishnasamy Background,ORG
English,LANGUAGE
ESL,ORG
Pakistani,NORP
English,LANGUAGE
NNES,ORG
Pakistani,NORP
Pakistani,NORP
Lev Vygotsky,PERSON
1978,DATE
Pakistani,NORP
ESL,ORG
ESL,ORG
Pakistan,GPE
Prevailing Inequities,ORG
2023,DATE
Adnan Yasin Ruqia Shaheen Madiha,PERSON
Hasan Fouzia,PERSON
Pakistan,GPE
Pakistan,GPE
Pakistan,GPE
Barriers Experienced,ORG
Mixed-Method Study,ORG
May 2023,DATE
Katherine Bogen Tierney Kyle Ahrold Lorenz,PERSON
2023,DATE
Black,ORG
British,NORP
Black,ORG
Civic,NORP
"The Nexus of Urbanization, Education",ORG
Women’s Empowerment,ORG
Muhammad Abdullah,PERSON
Ayza Shoukat Muhammad Gulzaib,PERSON
Pakistan,GPE
Pakistan,GPE
1980,DATE
2019,DATE
ADF,ORG
Johansen,PERSON
the Women Empowerment Index,ORG
WEI,ORG
Pakistan,GPE
Pakistan,GPE
Gender,ORG
India,GPE
Pakistan,GPE
the Global Network Maternal Newborn Health Registry,ORG
2020,DATE
Reprod Health Zubair H Aghai Shivaprasad S,ORG
Archana Patel,PERSON
Richard Derman Background,PERSON
Asia,LOC
Global Network,ORG
the Maternal Newborn Health Registry,ORG
Asian,NORP
the Global Network,ORG
1–7 days,DATE
8–28 days,DATE
between 29–42 days,DATE
Between 2010 and 2018,DATE
Indian,NORP
Pakistani,NORP
between 29–42 days,DATE
42 days,DATE
7 days of age,DATE
Vietnamese,NORP
2020,DATE
Greeni Maheshwari,PERSON
Nayak Barriers,PERSON
Vietnam,GPE
2006,DATE
Vietnamese,NORP
Vietnam,GPE
Vietnam,GPE
Vietnamese,NORP
the United Nations Sustainable Development,ORG
Vietnam,GPE
Pakistan,GPE
2018,DATE
Gulnaz Anjum Anila Kamal,ORG
Sania Bilwani,PERSON
recent years,DATE
IPA,ORG
IPA,ORG
Gender Role Beliefs,PERSON
EBP,ORG
EBP,ORG
EBP,ORG
WP,ORG
the UN Sustainable Development Goals,ORG
EBP,ORG
EBP,ORG
WP,ORG
EBP,ORG
MNE,ORG
EBP,ORG
Norway,GPE
2020,DATE
DEMOGR,ORG
Ragni Hege,PERSON
the Influence of Sociocultural Norms,ORG
Gender Biases,PERSON
Pakistan,GPE
"K Fizza Fizza, K. (",ORG
2023,DATE
the Influence of Sociocultural Norms,ORG
Gender Biases,PERSON
Pakistan,GPE
Harvard University,ORG
Pakistan Introduction & Quick Facts Land Relief,ORG
Himalayan,NORP
Karakoram,GPE
Indus River,LOC
Soils Climate Plant,ORG
People Ethnic composition Linguistic composition,ORG
Religion Settlement patterns Traditional,ORG
Demographic,PERSON
Economy Agriculture,ORG
Minerals Hydrocarbons,PERSON
Manufacturing Finance Trade Services Labor,ORG
Transportation,ORG
Security Health,ORG
Housing Education Cultural life Daily,ORG
Media,ORG
Mesolithic,PERSON
Neolithic Period Urbanism,ORG
the Vedic period The Gandhara,LOC
Islam,NORP
Delhi,GPE
Muslim,NORP
The Mughal Empire,ORG
Sikh,PERSON
Punjab,NORP
British,NORP
Indian Muslim,NORP
The Muslim League,ORG
Liaquat Ali Khan Political,PERSON
Zulfikar Ali Bhutto Zia-ul-Haq Political,PERSON
Benazir Bhutto,PERSON
Nawaz Sharif,ORG
Moeen Qureshi,ORG
Benazir Bhutto,PERSON
Nawaz Sharif Continuing,ORG
Sharif,PERSON
the United States,GPE
India Hesitant,ORG
Islamist,NORP
Pakistan,GPE
Zardari,ORG
U.S.,GPE
2010,DATE
Osama bin Laden,PERSON
Defeat,ORG
Nawaz Sharif Domestic,ORG
Arrest,PERSON
Imran Khan,PERSON
Shehbaz Sharif References & Edit History Facts & Stats Images,ORG
